date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:14	109075/109075	---M-Z	200	added ('OK')	text/html	etag:%2222709d-1aa13-5985a9f9e8d00-gzip%22	https://codelayers.net/templates/biksy/index.html	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/index.html	(from )
21:58:15	857/857	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Mar%202020%2002:58:16%20GMT	https://codelayers.net/robots.txt		(from )
21:58:16	93062/93062	---M--	200	added ('OK')	image/x-icon	etag:%22226ef9-16b86-592804a165500%22	https://codelayers.net/templates/biksy/images/fav-icon.ico	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/images/fav-icon.ico	(from https://codelayers.net/templates/biksy/index.html)
21:58:16	121260/121260	---M--	200	added ('OK')	text/css	etag:%222270c2-1d9ac-5927408db3a80%22	https://codelayers.net/templates/biksy/js/bootstrap/bootstrap.min.css	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/js/bootstrap/bootstrap.min.css	(from https://codelayers.net/templates/biksy/index.html)
21:58:16	49299/49299	---M--	200	added ('OK')	text/css	etag:%2222717d-c093-59526c03be580%22	https://codelayers.net/templates/biksy/js/megamenu/stylesheets/screen.css	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/js/megamenu/stylesheets/screen.css	(from https://codelayers.net/templates/biksy/index.html)
21:58:17	14299/14299	---M--	200	added ('OK')	text/css	etag:%2222716d-37db-59526bf84ca80%22	https://codelayers.net/templates/biksy/js/loaders/stylesheets/screen.css	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/js/loaders/stylesheets/screen.css	(from https://codelayers.net/templates/biksy/index.html)
21:58:17	111817/111817	---M--	200	added ('OK')	text/css	etag:%22222b23-1b4c9-598345d9f5e00%22	https://codelayers.net/templates/biksy/css/theme-default.css	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/css/theme-default.css	(from https://codelayers.net/templates/biksy/index.html)
21:58:17	64436/64436	---M--	200	added ('OK')	text/css	etag:%22222b20-fbb4-5983476c69380%22	https://codelayers.net/templates/biksy/css/corporate.css	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/css/corporate.css	(from https://codelayers.net/templates/biksy/index.html)
21:58:17	28931/28931	---M--	200	added ('OK')	text/css	etag:%22222b30-7103-5927408612880%22	https://codelayers.net/templates/biksy/fonts/font-awesome/css/font-awesome.min.css	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/fonts/font-awesome/css/font-awesome.min.css	(from https://codelayers.net/templates/biksy/index.html)
21:58:17	11032/11032	---M--	200	added ('OK')	text/css	etag:%22222b6b-2b18-5927408612880%22	https://codelayers.net/templates/biksy/fonts/Simple-Line-Icons-Webfont/simple-line-icons.css	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/fonts/Simple-Line-Icons-Webfont/simple-line-icons.css	(from https://codelayers.net/templates/biksy/index.html)
21:58:17	7052/7052	---M--	200	added ('OK')	text/css	etag:%22222b26-1b8c-592740842a400%22	https://codelayers.net/templates/biksy/fonts/et-line-font/et-line-font.css	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/fonts/et-line-font/et-line-font.css	(from https://codelayers.net/templates/biksy/index.html)
21:58:18	36550/36550	---M--	200	added ('OK')	text/css	etag:%222271db-8ec6-5927408db3a80%22	https://codelayers.net/templates/biksy/js/revolution-slider/css/settings.css	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/js/revolution-slider/css/settings.css	(from https://codelayers.net/templates/biksy/index.html)
21:58:18	59563/59563	---M--	200	added ('OK')	text/css	etag:%222271d9-e8ab-5927408db3a80%22	https://codelayers.net/templates/biksy/js/revolution-slider/css/navigation.css	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/js/revolution-slider/css/navigation.css	(from https://codelayers.net/templates/biksy/index.html)
21:58:18	790/790	---M--	200	added ('OK')	text/css	etag:%22227193-316-5927408db3a80%22	https://codelayers.net/templates/biksy/js/parallax/main.css	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/js/parallax/main.css	(from https://codelayers.net/templates/biksy/index.html)
21:58:19	131172/131172	---M--	200	added ('OK')	text/css	etag:%222271c9-20064-595266ddc4000%22	https://codelayers.net/templates/biksy/js/revolution-slider/css/layers.css	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/js/revolution-slider/css/layers.css	(from https://codelayers.net/templates/biksy/index.html)
21:58:19	93480/93480	---M--	200	added ('OK')	text/css	etag:%22227116-16d28-59526bf664600%22	https://codelayers.net/templates/biksy/js/cubeportfolio/cubeportfolio.min.css	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/js/cubeportfolio/cubeportfolio.min.css	(from https://codelayers.net/templates/biksy/index.html)
21:58:19	12346/12346	---M--	200	added ('OK')	text/css	etag:%22227189-303a-595266ddc4000%22	https://codelayers.net/templates/biksy/js/owl-carousel/owl.carousel.css	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/js/owl-carousel/owl.carousel.css	(from https://codelayers.net/templates/biksy/index.html)
21:58:19	16274/16274	---M--	200	added ('OK')	text/css	etag:%2222718c-3f92-595266ddc4000%22	https://codelayers.net/templates/biksy/js/owl-carousel/owl.theme.css	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/js/owl-carousel/owl.theme.css	(from https://codelayers.net/templates/biksy/index.html)
21:58:19	9742/9742	---M--	200	added ('OK')	text/css	etag:%22222b5e-260e-5927408612880%22	https://codelayers.net/templates/biksy/fonts/pe-icon-7-stroke/css/pe-icon-7-stroke.css	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/fonts/pe-icon-7-stroke/css/pe-icon-7-stroke.css	(from https://codelayers.net/templates/biksy/index.html)
21:58:19	30394/30394	---M--	200	added ('OK')	text/css	etag:%2222727e-76ba-59526bfa34f00%22	https://codelayers.net/templates/biksy/js/tabs/css/responsive-tabs.css	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/js/tabs/css/responsive-tabs.css	(from https://codelayers.net/templates/biksy/index.html)
21:58:20	8171/8171	---M--	200	added ('OK')	text/css	etag:%2222728e-1feb-5927408db3a80%22	https://codelayers.net/templates/biksy/js/ytplayer/ytplayer.css	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/js/ytplayer/ytplayer.css	(from https://codelayers.net/templates/biksy/index.html)
21:58:20	9342/9342	---M--	200	added ('OK')	text/css	etag:%222270af-247e-5983386b02c80%22	https://codelayers.net/templates/biksy/js/accordion/css/smk-accordion.css	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/js/accordion/css/smk-accordion.css	(from https://codelayers.net/templates/biksy/index.html)
21:58:20	1951/1951	---M--	200	added ('OK')	image/png	etag:%22226f03-79f-5985900e3e580%22	https://codelayers.net/templates/biksy/images/logo/logo.png	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/images/logo/logo.png	(from https://codelayers.net/templates/biksy/index.html)
21:58:20	2142/2142	---M--	200	added ('OK')	image/jpeg	etag:%22226ee7-85e-59274087fad00%22	https://codelayers.net/templates/biksy/images/cart-img1.jpg	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/images/cart-img1.jpg	(from https://codelayers.net/templates/biksy/index.html)
21:58:21	3231/3231	---M--	200	added ('OK')	image/jpeg	etag:%22226ee8-c9f-59274087fad00%22	https://codelayers.net/templates/biksy/images/cart-img2.jpg	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/images/cart-img2.jpg	(from https://codelayers.net/templates/biksy/index.html)
21:58:21	84054/84054	---M-Z	200	added ('OK')	text/html	etag:%2222709f-14856-5985a52222000-gzip%22	https://codelayers.net/templates/biksy/index2.html	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/index2.html	(from https://codelayers.net/templates/biksy/index.html)
21:58:21	102535/102535	---M-Z	200	added ('OK')	text/html	etag:%222270a0-19087-5985a9f05f680-gzip%22	https://codelayers.net/templates/biksy/index3.html	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/index3.html	(from https://codelayers.net/templates/biksy/index.html)
21:58:21	90888/90888	---M-Z	200	added ('OK')	text/html	etag:%222270a1-16308-5985a9f05f680-gzip%22	https://codelayers.net/templates/biksy/index4.html	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/index4.html	(from https://codelayers.net/templates/biksy/index.html)
21:58:22	104869/104869	---M-Z	200	added ('OK')	text/html	etag:%222270a2-199a5-5985a9f05f680-gzip%22	https://codelayers.net/templates/biksy/index5.html	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/index5.html	(from https://codelayers.net/templates/biksy/index.html)
21:58:22	92991/92991	---M-Z	200	added ('OK')	text/html	etag:%222270a3-16b3f-5985a9f05f680-gzip%22	https://codelayers.net/templates/biksy/index6.html	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/index6.html	(from https://codelayers.net/templates/biksy/index.html)
21:58:22	82530/82530	---M-Z	200	added ('OK')	text/html	etag:%222270a4-14262-5985a9f05f680-gzip%22	https://codelayers.net/templates/biksy/index7.html	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/index7.html	(from https://codelayers.net/templates/biksy/index.html)
21:58:22	86915/86915	---M-Z	200	added ('OK')	text/html	etag:%222270a5-15383-5985a9f05f680-gzip%22	https://codelayers.net/templates/biksy/index8.html	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/index8.html	(from https://codelayers.net/templates/biksy/index.html)
21:58:22	89107/89107	---M-Z	200	added ('OK')	text/html	etag:%222270a6-15c13-5985a9f05f680-gzip%22	https://codelayers.net/templates/biksy/index9.html	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/index9.html	(from https://codelayers.net/templates/biksy/index.html)
21:58:23	85602/85602	---M-Z	200	added ('OK')	text/html	etag:%2222709e-14e62-5985a9f05f680-gzip%22	https://codelayers.net/templates/biksy/index10.html	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/index10.html	(from https://codelayers.net/templates/biksy/index.html)
21:58:23	46716/46716	---M-Z	200	added ('OK')	text/html	etag:%22227295-b67c-5985a9f05f680-gzip%22	https://codelayers.net/templates/biksy/page-about2.html	D:/Desktop/ORGANIZAR/524/524/codelayers.net/templates/biksy/page-about2.html	(from https://codelayers.net/templates/biksy/index.html)
